,datedim,vehicle_name,port_name,vehicle_type,eva_name,eva_type,eva_accuracy,event
618,9/11/2023,,,,,,,
619,9/12/2023,,,,,,,
620,9/13/2023,,,,,,,
621,9/14/2023,,,,,,,
622,9/15/2023,70Soyuz,MRM1 / FGB Nadir,Soyuz,,,,Dock
623,9/16/2023,,,,,,,
624,9/17/2023,,,,,,,
625,9/18/2023,,,,,,,
626,9/19/2023,,,,,,,
627,9/20/2023,,,,,,,
628,9/21/2023,,,,,,,
629,9/22/2023,,,,,,,
630,9/23/2023,,,,,,,
631,9/24/2023,,,,,,,
632,9/25/2023,,,,,,,
633,9/26/2023,,,,,,,
634,9/27/2023,69Soyuz,MRM2 / SM Zenith,Soyuz,,,,Undock
635,9/28/2023,,,,,,,
636,9/29/2023,,,,,,,
637,9/30/2023,,,,,,,
638,10/1/2023,,,,,,,
639,10/2/2023,,,,,,,
640,10/3/2023,,,,,,,
641,10/4/2023,,,,,,,
642,10/5/2023,,,,,,,
643,10/6/2023,,,,,,,
644,10/7/2023,,,,,,,
645,10/8/2023,,,,,,,
646,10/9/2023,,,,,,,
647,10/10/2023,,,,,,,
648,10/11/2023,,,,,,,
649,10/12/2023,,,,U (Microorganisms),US,*Estimated,EVA
650,10/13/2023,,,,,,,
651,10/14/2023,,,,,,,
652,10/15/2023,,,,,,,
653,10/16/2023,,,,,,,
654,10/17/2023,,,,,,,
655,10/18/2023,,,,,,,
656,10/19/2023,,,,U (RFG Retrieval - Part 2),US,*Estimated,EVA
657,10/20/2023,,,,,,,
658,10/21/2023,,,,,,,
659,10/22/2023,,,,,,,
660,10/23/2023,,,,,,,
661,10/24/2023,,,,,,,
662,10/25/2023,,,,R-61,RS,Planned,EVA
663,10/26/2023,,,,,,,
664,10/27/2023,,,,,,,
665,10/28/2023,,,,,,,
666,10/29/2023,,,,,,,
667,10/30/2023,NG-19,N1 Nadir,CRS2 Cygnus,,,,Undock
668,10/31/2023,,,,,,,
669,11/1/2023,SpX-29,N2 Fwd / PMA-2,Cargo Dragon,,,,Launch
670,11/2/2023,SpX-29,N2 Fwd / PMA-2,Cargo Dragon,,,,Dock
671,11/3/2023,,,,,,,
672,11/4/2023,,,,,,,
673,11/5/2023,,,,,,,
674,11/6/2023,,,,,,,
675,11/7/2023,,,,,,,
676,11/8/2023,,,,,,,
677,11/9/2023,,,,,,,
678,11/10/2023,,,,,,,
679,11/11/2023,,,,,,,
680,11/12/2023,,,,,,,
681,11/13/2023,,,,,,,
682,11/14/2023,,,,,,,
683,11/15/2023,,,,,,,
684,11/16/2023,,,,,,,
685,11/17/2023,,,,,,,
686,11/18/2023,,,,,,,
687,11/19/2023,,,,,,,
688,11/20/2023,,,,,,,
689,11/21/2023,,,,,,,
690,11/22/2023,,,,,,,
691,11/23/2023,,,,,,,
692,11/24/2023,,,,,,,
693,11/25/2023,,,,,,,
694,11/26/2023,,,,,,,
695,11/27/2023,,,,,,,
696,11/28/2023,,,,,,,
697,11/29/2023,84Progress,MRM2 / SM Zenith,Progress,,,,Undock
